Serial_Number,Campaign_Name,Objective,Amount_Spent,Amount_Install,Amount_Purchase,Purchase_Conversion_Value,Amount_Subscribe,Subscribe_Conversion_Value,Reporting_Date,Category
202006140000,期貨電子盤_下載_IOS(舊),APP_INSTALLS,110,9.0,,,,,20200614,FB
202006140001,股市爆料同學會_20190617(下載),APP_INSTALLS,2,,,,,,20200614,FB
202006140002,權證小哥_講座_轉換次數(購買),CONVERSIONS,3996,,22.0,61543.0,,,20200614,FB
202006140003,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,3462,179.0,1.0,,2.0,4000.0,20200614,FB
202006140004,籌碼K線APP_最多點擊_活動,LINK_CLICKS,602,18.0,5.0,15212.0,1.0,3590.0,20200614,FB
202006140005,武財神_APP下載_20200221,APP_INSTALLS,851,86.0,,,,,20200614,FB
202006140006,iCheck APP下載_20200324,APP_INSTALLS,488,45.0,,,,,20200614,FB
202006140007,籌碼K線_下載_興趣投資受眾,APP_INSTALLS,1910,68.0,,,,,20200614,FB
202006140008,籌碼K線_下載_相關類似受眾,APP_INSTALLS,2513,99.0,1.0,410.0,2.0,820.0,20200614,FB
202006140009,股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,1,,,,,,20200614,FB
2020061400010,股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,0,,,,,,20200614,FB
2020061400011,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,2353,119.0,1.0,499.0,1.0,3590.0,20200614,FB
2020061400012,林恩如_下載_0504建立_軟體,APP_INSTALLS,499,34.0,,,,,20200614,FB
2020061400013,20200513_林恩如_AOS_下載_軟體,APP_INSTALLS,564,39.0,,,,,20200614,FB
2020061400014,20200514_林恩如_IOS_下載_軟體,APP_INSTALLS,757,35.0,1.0,8288.0,1.0,,20200614,FB
2020061400015,20200522_林恩如_Like_其他_軟體,PAGE_LIKES,69,,,,,,20200614,FB
2020061400016,大大工程師_第七屆招生_20200529,LINK_CLICKS,2011,,,,,,20200614,FB
2020061400017,20200601_期權先生＿IOS下載＿短線受眾測試,APP_INSTALLS,118,5.0,,,,,20200614,FB
2020061400018,20200601_期權先生＿AOS下載＿短線受眾測試,APP_INSTALLS,593,20.0,,,,,20200614,FB
2020061400019,20200601_期權先生＿IOS下載＿波段受眾測試,APP_INSTALLS,601,34.0,,,,,20200614,FB
2020061400020,權證小哥_軟體_導購,CONVERSIONS,98,,4.0,11424.0,,,20200614,FB
2020061400021,20200606-0619_林恩如_2020期指決勝特訓_購買_講座,LINK_CLICKS,1501,,11.0,83944.0,,,20200614,FB
2020061400022,股人阿勳_下載_20200605_軟體,APP_INSTALLS,669,48.0,,,,,20200614,FB
2020061400023,股人阿勳_互動_20200605_軟體,PAGE_LIKES,602,,2.0,3387.0,,,20200614,FB
2020061400024,20200605_無聊詹_流量_講座,LINK_CLICKS,397,3.0,2.0,8124.0,,,20200614,FB
2020061400025,股市爆料同學會_測試專用_20200606(下載),APP_INSTALLS,4,2.0,,,,,20200614,FB
2020061400026,202006005_期權先生＿AOS下載＿短線受眾測試 _6/30前免費下載,APP_INSTALLS,449,14.0,,,,,20200614,FB
2020061400027,20200605_期權先生＿IOS下載＿短線受眾測試_6/30前下載圖片,APP_INSTALLS,108,2.0,,,,,20200614,FB
2020061400028,20200601_期權先生＿AOS下載＿波段受眾測試,APP_INSTALLS,792,45.0,1.0,1799.0,,,20200614,FB
2020061400029,20200608_期權先生_購買_首購銷售_圖片_短線作者受眾,CONVERSIONS,551,,1.0,,,,20200614,FB
2020061400030,20200608_期權先生_購買_首購銷售_影片_波段作者受眾,CONVERSIONS,560,,2.0,2787.0,,,20200614,FB
2020061400031,20200608_期權先生_購買_首購銷售_圖片_波段作者受眾,CONVERSIONS,2791,,5.0,6205.0,,,20200614,FB
2020061400032,20200608_期權先生_購買_首購銷售_圖片影音_大眾受眾,CONVERSIONS,2536,,6.0,37346.0,,,20200614,FB
2020061400033,20200608_期權先生_購買_首購銷售_影音_大眾受眾,CONVERSIONS,1767,,11.0,28686.0,,,20200614,FB
2020061400034,20200608_期權先生_購買_首購銷售_影片_短線作者受眾,CONVERSIONS,7254,,15.0,29863.0,,,20200614,FB
2020061400035,20200609_期權先生互動＿短線波段大眾,POST_ENGAGEMENT,995,,1.0,2988.0,,,20200614,FB
