Serial_Number,Campaign_Name,Adset_Name,Ad_Name,Objective,Amount_Spent,Amount_Install,Amount_Purchase,Purchase_Conversion_Value,Amount_Subscribe,Subscribe_Conversion_Value,CPM,CTR,Impressions,Reporting_Date,Category
2021021000050297,武財神_點燈活動,道教興趣,道教興趣,CONVERSIONS,0,,,,,,0,0,1,20210210,FB
2021021000050298,武財神_點燈活動,最近活躍且有購買的類似受眾,前5%活躍類似受眾,CONVERSIONS,493,,,,,,135.142544,1.20614,3648,20210210,FB
2021021000050299,武財神_點燈活動,曾瀏覽武財神LP的人,曾瀏覽武財神LP的人,CONVERSIONS,493,,,,,,246.253746,1.048951,2002,20210210,FB
2021021000050300,武財神_點燈活動,對理財寶粉專財運文章有興趣的人,對理財寶粉專財運文章有興趣的人,CONVERSIONS,478,,,,,,140.629597,1.147396,3399,20210210,FB
2021021000050301,武財神_APP下載_iOS_20200723,武財神__iOS_25-65+_興趣_道教_自動版位,上香功能影片,APP_INSTALLS,184,23,,,2,240,69.670579,2.688376,2641,20210210,FB
2021021000050302,武財神_APP下載_iOS_20200723,武財神__iOS_25-65+_類似受眾_安裝APP_自動版位,求籤圖片,APP_INSTALLS,75,4,,,,,97.911227,1.958225,766,20210210,FB
2021021000050303,武財神_APP下載_iOS_20200723,武財神__iOS_25-65+_類似受眾_上香_自動版位,求籤圖片,APP_INSTALLS,40,4,,,,,95.69378,3.110048,418,20210210,FB
2021021000050304,20200922_艾蜜莉APP_IOS_下載_軟體,財報投資受眾_IOS (便宜價),單一圖片_便宜價,APP_INSTALLS,892,61,,,,,117.461154,1.830392,7594,20210210,FB
2021021000050305,20200922_艾蜜莉APP_Android_下載_軟體,財報投資受眾_Android (便宜價),單一圖片_便宜價,APP_INSTALLS,315,16,,,,,108.80829,1.7962,2895,20210210,FB
2021021000050306,20200922_艾蜜莉APP_Android_下載_軟體,基本面受眾_Android (便宜價),圖片_便宜價+紫色功能圖,APP_INSTALLS,122,5,,,,,97.834804,1.844427,1247,20210210,FB
2021021000050307,2020 Q4 恩如LIKE,波段+(理&投&小)互動類似受眾+排除粉專按讚,影片：年終精簡版,PAGE_LIKES,158,,,,,,192.918193,4.029304,819,20210210,FB
2021021000050308,20201110_艾蜜莉下載_IOS_自動化廣告_軟體,IOS_自動化廣告,自動化廣告,APP_INSTALLS,620,27,,,,,117.357562,1.53322,5283,20210210,FB
2021021000050309,20201110_艾蜜莉下載_Android_自動化廣告_軟體,Android_自動化廣告,自動化廣告,APP_INSTALLS,1016,51,,,,,112.314835,1.514482,9046,20210210,FB
2021021000050310,20200922_艾蜜莉APP_IOS_下載_軟體,同學會受眾_IOS (便宜價),圖片_便宜價+紫色功能圖,APP_INSTALLS,11,,,,,,63.953488,0,172,20210210,FB
