Serial_Number,Campaign_Name,Adset_Name,Objective,Amount_Spent,Amount_Install,Amount_Purchase,Purchase_Conversion_Value,Amount_Subscribe,Subscribe_Conversion_Value,Reporting_Date,Category
2020110800027443,期貨電子盤_下載_IOS(舊),金湯尼_IOS,APP_INSTALLS,53,6,,,,,20201108,FB
2020110800027444,期貨電子盤_下載_IOS(舊),興趣期貨受眾_IOS,APP_INSTALLS,8,,,,,,20201108,FB
2020110800027445,期貨電子盤_下載_IOS(舊),期貨電子盤類似受眾_IOS,APP_INSTALLS,14,,,,,,20201108,FB
2020110800027446,20200801_林恩如_AOS_下載_軟體,林恩如_Android_財經興趣,APP_INSTALLS,3,,,,,,20201108,FB
2020110800027447,20200801_林恩如_AOS_下載_軟體,林恩如_Android_波段官網30D相似受眾,APP_INSTALLS,1,,,,,,20201108,FB
2020110800027448,20200801_林恩如_AOS_下載_軟體,林恩如_Android_林恩如相似受眾,APP_INSTALLS,19,3,,,,,20201108,FB
2020110800027449,20200801_林恩如_AOS_下載_軟體,林恩如_Android_波段課程相似受眾,APP_INSTALLS,33,4,,,,,20201108,FB
2020110800027450,20200801_林恩如_AOS_下載_軟體,林恩如_Android_波段軟體受眾,APP_INSTALLS,2,,,,,,20201108,FB
2020110800027451,20200801_林恩如_iOS_下載_軟體,林恩如_iOS_基本面造訪,APP_INSTALLS,7,,,,,,20201108,FB
2020110800027452,20200801_林恩如_iOS_下載_軟體,林恩如_iOS_林恩如相似受眾,APP_INSTALLS,41,2,,,,,20201108,FB
2020110800027453,20200801_林恩如_iOS_下載_軟體,林恩如_iOS_波段軟體受眾,APP_INSTALLS,37,1,,,,,20201108,FB
2020110800027454,20200801_林恩如_iOS_下載_軟體,林恩如_iOS_財經興趣,APP_INSTALLS,39,3,,,,,20201108,FB
2020110800027455,20200801_林恩如_iOS_下載_軟體,林恩如_iOS_波段官網30D相似受眾,APP_INSTALLS,0,,,,,,20201108,FB
