Serial_Number,Campaign_Name,Objective,Amount_Spent,Amount_Install,Amount_Purchase,Purchase_Conversion_Value,Amount_Subscribe,Subscribe_Conversion_Value,Reporting_Date,Category
201912180000,籌碼K線_ 競價下載_行銷活動花費無限制,APP_INSTALLS,204,14,1,360,1,360,20191218,FB
201912180001,期貨電子盤_下載_IOS(舊),APP_INSTALLS,31,,,,,,20191218,FB
201912180002,強棒-應用程式安裝_林恩如,APP_INSTALLS,1004,48,3,7036,,,20191218,FB
201912180003,股市爆料同學會_20190617(下載),APP_INSTALLS,699,75,,,,,20191218,FB
201912180004,恩如講座轉換次數,CONVERSIONS,1000,,16,76992,,,20191218,FB
201912180005,權證小哥_講座_轉換次數(購買),CONVERSIONS,1209,,19,38288,,,20191218,FB
201912180006,正在查看的籌碼K線下載細項,APP_INSTALLS,102,8,,,,,20191218,FB
201912180007,丹尼爾-應用程式安裝,APP_INSTALLS,694,39,,,,,20191218,FB
201912180008,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,6078,170,1,3771,2,3650,20191218,FB
201912180009,大大工程師-第六屆招生,LINK_CLICKS,950,,,,,,20191218,FB
2019121800010,籌碼K線_柴鼠兄弟,VIDEO_VIEWS,372,,,,,,20191218,FB
2019121900011,籌碼K線_ 競價下載_行銷活動花費無限制,APP_INSTALLS,229,7,,,,,20191219,FB
2019121900012,期貨電子盤_下載_IOS(舊),APP_INSTALLS,12,,,,,,20191219,FB
2019121900013,強棒-應用程式安裝_林恩如,APP_INSTALLS,1003,47,2,338,,,20191219,FB
2019121900014,股市爆料同學會_20190617(下載),APP_INSTALLS,414,34,2,1437,,,20191219,FB
2019121900015,恩如講座轉換次數,CONVERSIONS,1019,,11,41484,,,20191219,FB
2019121900016,權證小哥_講座_轉換次數(購買),CONVERSIONS,1224,,24,36198,,,20191219,FB
2019121900017,正在查看的籌碼K線下載細項,APP_INSTALLS,97,6,,,,,20191219,FB
2019121900018,丹尼爾-應用程式安裝,APP_INSTALLS,522,29,,,,,20191219,FB
2019121900019,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,6445,159,3,298,2,740,20191219,FB
2019121900020,大大工程師-第六屆招生,LINK_CLICKS,941,,,,,,20191219,FB
2019122000021,籌碼K線_ 競價下載_行銷活動花費無限制,APP_INSTALLS,230,12,1,360,1,360,20191220,FB
2019122000022,期貨電子盤_下載_IOS(舊),APP_INSTALLS,8,,,,,,20191220,FB
2019122000023,強棒-應用程式安裝_林恩如,APP_INSTALLS,1007,40,,,,,20191220,FB
2019122000024,恩如講座轉換次數,CONVERSIONS,994,,9,23837,,,20191220,FB
2019122000025,權證小哥_講座_轉換次數(購買),CONVERSIONS,1171,,15,45715,,,20191220,FB
2019122000026,正在查看的籌碼K線下載細項,APP_INSTALLS,99,7,,,,,20191220,FB
2019122000027,丹尼爾-應用程式安裝,APP_INSTALLS,654,34,,,,,20191220,FB
2019122000028,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,5365,122,,,,,20191220,FB
2019122000029,大大工程師-第六屆招生,LINK_CLICKS,1081,,,,,,20191220,FB
2019122000030,大大PM_第二屆招生,LINK_CLICKS,246,,,,,,20191220,FB
2019122100031,籌碼K線_ 競價下載_行銷活動花費無限制,APP_INSTALLS,260,13,,,,,20191221,FB
2019122100032,期貨電子盤_下載_IOS(舊),APP_INSTALLS,17,,,,,,20191221,FB
2019122100033,強棒-應用程式安裝_林恩如,APP_INSTALLS,984,45,,,,,20191221,FB
2019122100034,恩如講座轉換次數,CONVERSIONS,970,,17,112030,,,20191221,FB
2019122100035,權證小哥_講座_轉換次數(購買),CONVERSIONS,1156,,19,77704,,,20191221,FB
2019122100036,正在查看的籌碼K線下載細項,APP_INSTALLS,93,2,,,,,20191221,FB
2019122100037,丹尼爾-應用程式安裝,APP_INSTALLS,1110,75,5,9300,,,20191221,FB
2019122100038,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,6551,151,,,,,20191221,FB
2019122100039,大大工程師-第六屆招生,LINK_CLICKS,1044,,1,169,,,20191221,FB
2019122100040,大大PM_第二屆招生,LINK_CLICKS,962,,2,15495,,,20191221,FB
2019122200041,籌碼K線_ 競價下載_行銷活動花費無限制,APP_INSTALLS,302,19,,,,,20191222,FB
2019122200042,期貨電子盤_下載_IOS(舊),APP_INSTALLS,25,3,,,,,20191222,FB
2019122200043,強棒-應用程式安裝_林恩如,APP_INSTALLS,991,46,1,,,,20191222,FB
2019122200044,恩如講座轉換次數,CONVERSIONS,1014,,16,70007,,,20191222,FB
2019122200045,權證小哥_講座_轉換次數(購買),CONVERSIONS,1218,,12,45722,,,20191222,FB
2019122200046,正在查看的籌碼K線下載細項,APP_INSTALLS,100,3,,,,,20191222,FB
2019122200047,丹尼爾-應用程式安裝,APP_INSTALLS,1100,74,2,3290,,,20191222,FB
2019122200048,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,9119,243,5,596,2,6580,20191222,FB
2019122200049,大大工程師-第六屆招生,LINK_CLICKS,1016,,,,,,20191222,FB
2019122200050,大大PM_第二屆招生,LINK_CLICKS,687,,,,,,20191222,FB
2019122300051,籌碼K線_ 競價下載_行銷活動花費無限制,APP_INSTALLS,270,12,,,,,20191223,FB
2019122300052,期貨電子盤_下載_IOS(舊),APP_INSTALLS,63,2,,,,,20191223,FB
2019122300053,強棒-應用程式安裝_林恩如,APP_INSTALLS,986,43,2,3880,,,20191223,FB
2019122300054,恩如講座轉換次數,CONVERSIONS,1009,,6,64270,,,20191223,FB
2019122300055,權證小哥_講座_轉換次數(購買),CONVERSIONS,1045,,13,78695,,,20191223,FB
2019122300056,正在查看的籌碼K線下載細項,APP_INSTALLS,98,4,,,,,20191223,FB
2019122300057,丹尼爾-應用程式安裝,APP_INSTALLS,1075,44,3,3290,,,20191223,FB
2019122300058,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,9096,187,2,1437,1,360,20191223,FB
2019122300059,大大工程師-第六屆招生,LINK_CLICKS,934,,,,,,20191223,FB
2019122300060,大大PM_第二屆招生,LINK_CLICKS,1022,,,,,,20191223,FB
2019122400061,籌碼K線_ 競價下載_行銷活動花費無限制,APP_INSTALLS,389,13,,,,,20191224,FB
2019122400062,期貨電子盤_下載_IOS(舊),APP_INSTALLS,31,1,,,,,20191224,FB
2019122400063,強棒-應用程式安裝_林恩如,APP_INSTALLS,1001,37,2,3290,,,20191224,FB
2019122400064,恩如講座轉換次數,CONVERSIONS,1143,,18,66883,,,20191224,FB
2019122400065,權證小哥_講座_轉換次數(購買),CONVERSIONS,1679,,26,127995,,,20191224,FB
2019122400066,正在查看的籌碼K線下載細項,APP_INSTALLS,100,3,,,,,20191224,FB
2019122400067,丹尼爾-應用程式安裝,APP_INSTALLS,1082,40,2,149,,,20191224,FB
2019122400068,艾蜜莉-應用程式安裝_軟體,APP_INSTALLS,150,15,,,,,20191224,FB
2019122400069,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,9233,200,2,1598,,,20191224,FB
2019122400070,大大工程師-第六屆招生,LINK_CLICKS,938,,,,,,20191224,FB
2019122400071,大大PM_第二屆招生,LINK_CLICKS,1942,,2,3771,,,20191224,FB
2019122400072,20191224同學會_聖誕節活動,POST_ENGAGEMENT,751,,,,,,20191224,FB
2019122500073,籌碼K線_ 競價下載_行銷活動花費無限制,APP_INSTALLS,293,11,,,,,20191225,FB
2019122500074,期貨電子盤_下載_IOS(舊),APP_INSTALLS,20,,,,,,20191225,FB
2019122500075,強棒-應用程式安裝_林恩如,APP_INSTALLS,1000,32,1,5711,,,20191225,FB
2019122500076,恩如講座轉換次數,CONVERSIONS,1401,,18,86349,,,20191225,FB
2019122500077,權證小哥_講座_轉換次數(購買),CONVERSIONS,1666,,14,99147,,,20191225,FB
2019122500078,正在查看的籌碼K線下載細項,APP_INSTALLS,100,4,1,360,1,360,20191225,FB
2019122500079,丹尼爾-應用程式安裝,APP_INSTALLS,1112,38,,,,,20191225,FB
2019122500080,艾蜜莉-應用程式安裝_軟體,APP_INSTALLS,6,,1,2388,,,20191225,FB
2019122500081,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,8312,198,3,14637,,,20191225,FB
2019122500082,大大工程師-第六屆招生,LINK_CLICKS,945,,,,,,20191225,FB
2019122500083,大大PM_第二屆招生,LINK_CLICKS,1961,,,,,,20191225,FB
2019122500084,20191224同學會_聖誕節活動,POST_ENGAGEMENT,1183,,,,,,20191225,FB
2019122500085,籌碼K線APP_最多點擊_活動,LINK_CLICKS,590,13,,,,,20191225,FB
2019122600086,籌碼K線_ 競價下載_行銷活動花費無限制,APP_INSTALLS,245,7,,,,,20191226,FB
2019122600087,期貨電子盤_下載_IOS(舊),APP_INSTALLS,30,,,,,,20191226,FB
2019122600088,強棒-應用程式安裝_林恩如,APP_INSTALLS,1010,33,1,8888,,,20191226,FB
2019122600089,恩如講座轉換次數,CONVERSIONS,1403,,22,78331,,,20191226,FB
2019122600090,權證小哥_講座_轉換次數(購買),CONVERSIONS,1664,,16,77839,,,20191226,FB
2019122600091,正在查看的籌碼K線下載細項,APP_INSTALLS,101,4,,,,,20191226,FB
2019122600092,丹尼爾-應用程式安裝,APP_INSTALLS,1112,56,,,,,20191226,FB
2019122600093,艾蜜莉-應用程式安裝_軟體,APP_INSTALLS,1,,,,,,20191226,FB
2019122600094,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,11041,228,2,1288,1,360,20191226,FB
2019122600095,大大工程師-第六屆招生,LINK_CLICKS,232,,,,,,20191226,FB
2019122600096,大大PM_第二屆招生,LINK_CLICKS,2049,,,,,,20191226,FB
2019122600097,20191224同學會_聖誕節活動,POST_ENGAGEMENT,1205,,,,,,20191226,FB
2019122600098,籌碼K線APP_最多點擊_活動,LINK_CLICKS,119,4,,,,,20191226,FB
2019122700099,籌碼K線_ 競價下載_行銷活動花費無限制,APP_INSTALLS,258,17,2,740,2,740,20191227,FB
20191227000100,期貨電子盤_下載_IOS(舊),APP_INSTALLS,15,2,,,,,20191227,FB
20191227000101,強棒-應用程式安裝_林恩如,APP_INSTALLS,1003,49,1,6688,,,20191227,FB
20191227000102,恩如講座轉換次數,CONVERSIONS,1388,,26,145258,,,20191227,FB
20191227000103,權證小哥_講座_轉換次數(購買),CONVERSIONS,865,,7,39251,,,20191227,FB
