Serial_Number,Campaign_Name,Adset_Name,Ad_Name,Objective,Amount_Spent,Amount_Install,Amount_Purchase,Purchase_Conversion_Value,Amount_Subscribe,Subscribe_Conversion_Value,CPM,CTR,Impressions,Reporting_Date,Category
2021012300048449,武財神_點燈活動,道教興趣,道教興趣,CONVERSIONS,139,,,,,,282.520325,4.471545,492,20210123,FB
2021012300048450,武財神_點燈活動,過去四年已購買武德宮的受眾,過去四年已購買武德宮的類似受眾,CONVERSIONS,0,,,,,,0,0,5,20210123,FB
2021012300048451,武財神_點燈活動,最近活躍且有購買的類似受眾,前5%活躍類似受眾,CONVERSIONS,248,,3,8953,,,225.454545,7.090909,1100,20210123,FB
2021012300048452,武財神_點燈活動,曾瀏覽武財神LP的人,曾瀏覽武財神LP的人,CONVERSIONS,318,,1,999,,,309.338521,3.891051,1028,20210123,FB
2021012300048453,武財神_APP下載_Android_20200723,武財神__Android_25-65+_興趣_道教_自動版位,上香功能影片,APP_INSTALLS,352,29,,,,,56.810846,1.145901,6196,20210123,FB
2021012300048454,武財神_APP下載_Android_20200723,武財神__Android_25-65+_類似受眾_安裝APP_自動版位,上香功能影片,APP_INSTALLS,154,10,,,,,86.468276,1.291409,1781,20210123,FB
2021012300048455,武財神_APP下載_iOS_20200723,武財神__iOS_25-65+_興趣_道教_自動版位,上香功能影片,APP_INSTALLS,197,20,,,1,120,87.09107,2.210433,2262,20210123,FB
2021012300048456,武財神_APP下載_iOS_20200723,武財神__iOS_25-65+_類似受眾_安裝APP_自動版位,求籤圖片,APP_INSTALLS,89,7,,,,,121.088435,3.129252,735,20210123,FB
2021012300048457,武財神_APP下載_iOS_20200723,武財神__iOS_25-65+_類似受眾_上香_自動版位,求籤圖片,APP_INSTALLS,61,6,,,,,106.830123,1.926445,571,20210123,FB
2021012300048458,20200922_艾蜜莉APP_IOS_下載_軟體,財報投資受眾_IOS (便宜價),單一圖片_便宜價,APP_INSTALLS,504,32,,,,,130.773223,2.257395,3854,20210123,FB
2021012300048459,20200922_艾蜜莉APP_Android_下載_軟體,財報投資受眾_Android (便宜價),單一圖片_便宜價,APP_INSTALLS,1030,53,,,,,133.696781,2.011942,7704,20210123,FB
2021012300048460,股市爆料同學會_Henry_自動化應用程式廣告Test_20200923_Android,股市爆料同學會_Android_20200923,股市爆料同學會_Android_20200923,APP_INSTALLS,56,5,,,,,65.650645,1.524033,853,20210123,FB
2021012300048461,20200922_艾蜜莉APP_Android_下載_軟體,財報投資受眾_Android (股災影片),單一影片_股災影片,APP_INSTALLS,19,1,,,,,153.225806,3.225806,124,20210123,FB
2021012300048462,20200922_艾蜜莉APP_Android_下載_軟體,基本面受眾_Android (股災影片),單一影片_股災影片,APP_INSTALLS,13,,,,,,103.174603,1.587302,126,20210123,FB
2021012300048463,20200922_艾蜜莉APP_Android_下載_軟體,基本面受眾_Android (便宜價),圖片_便宜價+紫色功能圖,APP_INSTALLS,106,6,,,,,118.568233,1.901566,894,20210123,FB
2021012300048464,股市爆料同學會_CM粉專_20201014,(CM粉專)股市爆料同學會_影片區_iOS,股市爆料同學會_影片B_20200507_爆料TA_Android,APP_INSTALLS,0,,,,,,0,0,2,20210123,FB
2021012300048465,股市爆料同學會_CM粉專_20201014,(CM粉專)股市爆料同學會_影片區_iOS,股市爆料同學會_影片A_20200306_爆料TA_Android,APP_INSTALLS,0,,,,,,0,0,3,20210123,FB
2021012300048466,股市爆料同學會_CM粉專_20201014,(CM粉專)股市爆料同學會_熱門股_Android,股市爆料同學會_熱門股_20200828_Android,APP_INSTALLS,113,13,,,,,70.890841,3.889586,1594,20210123,FB
2021012300048467,股市爆料同學會_CM粉專_20201014,(CM粉專)股市爆料同學會_扭蛋圖_20201014_Android,(理財A)股市爆料同學會_扭蛋圖_20200828_Android,APP_INSTALLS,0,,,,,,0,16.666667,6,20210123,FB
2021012300048468,2020 Q4 恩如LIKE,波段+(理&投&小)互動類似受眾+排除粉專按讚,影片：年終精簡版,PAGE_LIKES,47,,,,,,156.666667,3,300,20210123,FB
2021012300048469,20201110_艾蜜莉下載_IOS_自動化廣告_軟體,IOS_自動化廣告,自動化廣告,APP_INSTALLS,536,47,,,,,104.381694,1.733204,5135,20210123,FB
