Campaign_name,Objective,Amount_spent(NTD),Amount_install,Amount_purchase,Purchase_Conversion_Value,Amount_subscribe,Subscribe_Conversion_Value,Reporting_date
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,1088,55,2,12864,1,400,2020-05-18
林恩如_下載_0504建立_軟體,APP_INSTALLS,353,42,,,,,2020-05-18
20200506_阿格力_購買_首購銷售,CONVERSIONS,3182,,52,47075,,,2020-05-18
20200513-0520_林恩如_2020技術分析實戰班_購買_講座,CONVERSIONS,522,,2,1587,,,2020-05-18
20200513_林恩如_AOS_下載_軟體,APP_INSTALLS,232,10,,,,,2020-05-18
20200515_股人阿勳_貼文互動,POST_ENGAGEMENT,1521,,6,9509,,,2020-05-18
20200514_林恩如_IOS_下載_軟體,APP_INSTALLS,119,7,,,,,2020-05-18
期貨電子盤_下載_IOS(舊),APP_INSTALLS,120,14,,,,,2020-05-19
股市爆料同學會_20190617(下載),APP_INSTALLS,872,189,3,1097,,,2020-05-19
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,4006,191,1,3590,3,4390,2020-05-19
武財神_APP下載_20200221,APP_INSTALLS,211,10,,,,,2020-05-19
林恩如_2020講座(購買)_講座,CONVERSIONS,579,,3,25974,,,2020-05-19
iCheck APP下載_20200324,APP_INSTALLS,498,55,,,,,2020-05-19
籌碼K線_下載_興趣投資受眾,APP_INSTALLS,1173,95,1,,1,400,2020-05-19
股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,46,11,,,,,2020-05-19
股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,296,48,,,,,2020-05-19
股人阿勳_下載_軟體,APP_INSTALLS,403,37,,,,,2020-05-19
權證小哥_軟體_導購_20200505,LINK_CLICKS,100,,4,13557,,,2020-05-19
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,2712,105,6,9928,1,400,2020-05-19
林恩如_下載_0504建立_軟體,APP_INSTALLS,305,37,,,,,2020-05-19
20200506_阿格力_購買_首購銷售,CONVERSIONS,4971,,86,107819,,,2020-05-19
20200513-0520_林恩如_2020技術分析實戰班_購買_講座,CONVERSIONS,1009,,5,22630,,,2020-05-19
20200513_林恩如_AOS_下載_軟體,APP_INSTALLS,371,28,,,,,2020-05-19
20200515_股人阿勳_貼文互動,POST_ENGAGEMENT,1009,,2,2576,,,2020-05-19
20200514_林恩如_IOS_下載_軟體,APP_INSTALLS,191,13,,,,,2020-05-19
期貨電子盤_下載_IOS(舊),APP_INSTALLS,121,5,,,,,2020-05-20
股市爆料同學會_20190617(下載),APP_INSTALLS,970,193,3,7542,,,2020-05-20
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,3752,191,1,400,1,400,2020-05-20
武財神_APP下載_20200221,APP_INSTALLS,215,17,,,,,2020-05-20
林恩如_2020講座(購買)_講座,CONVERSIONS,561,,14,30921,,,2020-05-20
iCheck APP下載_20200324,APP_INSTALLS,501,54,,,,,2020-05-20
籌碼K線_下載_興趣投資受眾,APP_INSTALLS,2156,112,,,1,400,2020-05-20
股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,64,11,1,299,,,2020-05-20
股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,298,63,,,,,2020-05-20
股人阿勳_下載_軟體,APP_INSTALLS,360,32,2,299,,,2020-05-20
權證小哥_軟體_導購_20200505,LINK_CLICKS,94,,3,17465,,,2020-05-20
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,2457,88,2,12376,1,400,2020-05-20
林恩如_下載_0504建立_軟體,APP_INSTALLS,310,29,2,598,,,2020-05-20
20200505_下載艾蜜莉app_軟體,APP_INSTALLS,2,,,,,,2020-05-20
20200506_阿格力_購買_首購銷售,CONVERSIONS,12447,,185,195339,,,2020-05-20
20200513-0520_林恩如_2020技術分析實戰班_購買_講座,CONVERSIONS,1000,,10,73018,,,2020-05-20
20200513_林恩如_AOS_下載_軟體,APP_INSTALLS,289,19,1,8127,,,2020-05-20
20200515_股人阿勳_貼文互動,POST_ENGAGEMENT,1151,,,,,,2020-05-20
20200514_林恩如_IOS_下載_軟體,APP_INSTALLS,180,15,,,,,2020-05-20
無聊詹_其他-直播流量_軟體,LINK_CLICKS,3394,8,14,44554,,,2020-05-20
期貨電子盤_下載_IOS(舊),APP_INSTALLS,111,2,,,,,2020-05-21
股市爆料同學會_20190617(下載),APP_INSTALLS,1151,269,,,,,2020-05-21
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,2705,176,2,4185,2,800,2020-05-21
武財神_APP下載_20200221,APP_INSTALLS,218,25,,,,,2020-05-21
iCheck APP下載_20200324,APP_INSTALLS,493,53,,,,,2020-05-21
籌碼K線_下載_興趣投資受眾,APP_INSTALLS,3508,208,,,6,8790,2020-05-21
股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,48,10,,,,,2020-05-21
股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,301,62,1,899,,,2020-05-21
股人阿勳_下載_軟體,APP_INSTALLS,304,38,,,,,2020-05-21
權證小哥_軟體_導購_20200505,LINK_CLICKS,99,,3,7941,,,2020-05-21
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,987,60,1,400,1,400,2020-05-21
林恩如_下載_0504建立_軟體,APP_INSTALLS,252,23,1,,,,2020-05-21
20200506_阿格力_購買_首購銷售,CONVERSIONS,5484,,53,82307,,,2020-05-21
20200513_林恩如_AOS_下載_軟體,APP_INSTALLS,567,32,,,,,2020-05-21
20200514_林恩如_IOS_下載_軟體,APP_INSTALLS,570,44,1,,,,2020-05-21
20200521_艾蜜莉_下載_軟體,APP_INSTALLS,1753,109,2,8888,1,390,2020-05-21
20200521_股人阿勳_0528銷售前置作業_軟體,LINK_CLICKS,372,,,,,,2020-05-21
期貨電子盤_下載_IOS(舊),APP_INSTALLS,102,3,,,,,2020-05-22
股市爆料同學會_20190617(下載),APP_INSTALLS,1393,216,3,10575,,,2020-05-22
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,2569,171,1,400,1,400,2020-05-22
武財神_APP下載_20200221,APP_INSTALLS,220,35,,,,,2020-05-22
iCheck APP下載_20200324,APP_INSTALLS,498,39,,,,,2020-05-22
籌碼K線_下載_興趣投資受眾,APP_INSTALLS,4958,201,3,800,5,3690,2020-05-22
籌碼K_下載_相關類似受眾,APP_INSTALLS,421,24,,,1,400,2020-05-22
股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,89,17,,,,,2020-05-22
股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,291,54,,,,,2020-05-22
股人阿勳_下載_軟體,APP_INSTALLS,298,35,,,,,2020-05-22
權證小哥_軟體_導購_20200505,LINK_CLICKS,99,,5,14995,,,2020-05-22
