Serial_Number,Campaign_Name,Adset_Name,Ad_Name,Objective,Amount_Spent,Amount_Install,Amount_Purchase,Purchase_Conversion_Value,Amount_Subscribe,Subscribe_Conversion_Value,CPM,CTR,Impressions,Reporting_Date,Category
2021011400047040,權證小哥_0105(轉換)_布林軌道多空特訓班,權證小哥_0105(轉換)_布林軌道多空特訓班_新竹場,權證小哥_0105(轉換)_布林軌道多空特訓班,CONVERSIONS,199,,,,,,140.636042,1.060071,1415,20210114,FB
2021011400047041,20210105阿勳APP下載_iOS_軟體,造訪阿勳粉專類似受眾,台股高檔(圖),APP_INSTALLS,75,3,,,,,105.485232,0.984529,711,20210114,FB
2021011400047042,20210105阿勳APP下載_iOS_軟體,造訪阿勳粉專類似受眾,財報複雜(圖),APP_INSTALLS,23,,,,,,109.004739,0.947867,211,20210114,FB
2021011400047043,20210105阿勳APP下載_iOS_軟體,造訪阿勳粉專類似受眾,學員獲利(圖),APP_INSTALLS,0,,,,,,0,0,11,20210114,FB
2021011400047044,20210105阿勳APP下載_iOS_軟體,造訪算利教官粉專類似受眾,學員獲利(圖),APP_INSTALLS,0,,,,,,0,0,6,20210114,FB
2021011400047045,20210105阿勳APP下載_iOS_軟體,造訪算利教官粉專類似受眾,財報複雜(圖),APP_INSTALLS,7,1,,,,,114.754098,1.639344,61,20210114,FB
2021011400047046,20210105阿勳APP下載_iOS_軟體,造訪算利教官粉專類似受眾,台股高檔(圖),APP_INSTALLS,51,1,,,,,121.718377,1.193317,419,20210114,FB
2021011400047047,20210105阿勳APP下載_iOS_軟體,造訪陳重銘粉專類似受眾,財報複雜(圖),APP_INSTALLS,2,,,,,,86.956522,0,23,20210114,FB
2021011400047048,20210105阿勳APP下載_iOS_軟體,造訪陳重銘粉專類似受眾,台股高檔(圖),APP_INSTALLS,10,,,,,,88.495575,0.884956,113,20210114,FB
2021011400047049,20210105阿勳APP下載_Android_軟體,造訪阿勳粉專類似受眾,學員獲利(圖),APP_INSTALLS,1,,,,,,100,0,10,20210114,FB
2021011400047050,20210105阿勳APP下載_Android_軟體,造訪阿勳粉專類似受眾,台股高檔(圖),APP_INSTALLS,183,6,,,,,164.568345,1.708633,1112,20210114,FB
2021011400047051,20210105阿勳APP下載_Android_軟體,造訪算利教官粉專類似受眾,財報複雜(圖),APP_INSTALLS,99,2,1,19888,,,120,0.969697,825,20210114,FB
2021011400047052,20210105阿勳APP下載_Android_軟體,造訪陳重銘粉專類似受眾,財報複雜(圖),APP_INSTALLS,22,,,,,,100.456621,0.456621,219,20210114,FB
2021011400047053,20210105阿勳APP下載_Android_軟體,造訪算利教官粉專類似受眾,台股高檔(圖),APP_INSTALLS,699,10,,,,,140.672167,1.569732,4969,20210114,FB
2021011400047054,20210105阿勳APP下載_Android_軟體,造訪算利教官粉專類似受眾,學員獲利(圖),APP_INSTALLS,1,,,,,,55.555556,0,18,20210114,FB
2021011400047055,20210105阿勳APP下載_Android_軟體,造訪陳重銘粉專類似受眾,台股高檔(圖),APP_INSTALLS,78,4,,,,,121.118012,1.708075,644,20210114,FB
2021011400047056,20210105阿勳APP下載_Android_軟體,造訪阿勳粉專類似受眾,財報複雜(圖),APP_INSTALLS,40,,,,,,123.45679,1.234568,324,20210114,FB
2021011400047057,20210105阿勳APP下載_Android_軟體,造訪陳重銘粉專類似受眾,學員獲利(圖),APP_INSTALLS,0,,,,,,0,0,7,20210114,FB
2021011400047058,算利教官_購買_早鳥活動,官方受眾_形象影片_動圖型LP,官方受眾_形象影片_動圖型LP,CONVERSIONS,462,,2,798,,,233.687405,3.237228,1977,20210114,FB
2021011400047059,算利教官_購買_早鳥活動,長線受眾_形象影片_動圖型LP,長線受眾_形象影片_動圖型LP,CONVERSIONS,190,,,,,,193.679918,4.994903,981,20210114,FB
2021011400047060,算利教官_購買_早鳥活動,教官受眾_形象影片_動圖型LP,教官受眾_形象影片_動圖型LP,CONVERSIONS,203,,1,399,,,265.013055,6.91906,766,20210114,FB
2021011400047061,算利教官_購買_早鳥活動,長線受眾_形象影片_圖片型LP,長線受眾_形象影片_圖片型LP,CONVERSIONS,248,,,,,,187.878788,4.924242,1320,20210114,FB
2021011400047062,算利教官_購買_早鳥活動,官方受眾_形象影片_圖片型LP,官方受眾_形象影片_圖片型LP,CONVERSIONS,952,,11,22864,,,157.615894,3.956954,6040,20210114,FB
2021011400047063,算利教官_購買_早鳥活動,教官受眾_形象影片_圖片型LP,教官受眾_形象影片_圖片型LP,CONVERSIONS,439,,,,,,183.222037,4.924875,2396,20210114,FB
2021011400047064,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試_Android_20210108,測試1_Android_20210108,APP_INSTALLS,61,13,,,,,54.464286,2.053571,1120,20210114,FB
2021011400047065,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試_iOS_20210108,測試1_iOS_20210108,APP_INSTALLS,76,13,,,,,71.630537,3.864279,1061,20210114,FB
2021011400047066,期貨電子盤_IOS_預算手動,IOS_經濟日報受眾,IOS_經濟日報受眾_自動化廣告,APP_INSTALLS,1,,,,,,76.923077,0,13,20210114,FB
2021011400047067,期貨電子盤_IOS_預算手動,IOS_好房網受眾,IOS_好房網受眾_自動化廣告,APP_INSTALLS,1,,,,,,83.333333,0,12,20210114,FB
2021011400047068,期貨電子盤_IOS_預算手動,IOS_Mobile01受眾,IOS_Mobile01受眾_自動化廣告,APP_INSTALLS,0,,,,,,0,0,2,20210114,FB
2021011400047069,期貨電子盤_Android_預算手動,Android_經濟日報受眾,Android_經濟日報受眾_自動化廣告,APP_INSTALLS,3,,,,,,75,2.5,40,20210114,FB
2021011400047070,期貨電子盤_Android_預算手動,Android_好房網受眾,Android_好房網受眾_自動化廣告,APP_INSTALLS,1,,,,,,62.5,0,16,20210114,FB
2021011400047071,期貨電子盤_Android_預算手動,Android_Mobile01受眾,Android_Mobile01受眾_自動化廣告,APP_INSTALLS,1,,,,,,38.461538,0,26,20210114,FB
2021011400047072,期貨電子盤_IOS_討論區受眾,IOS_同學會受眾,IOS_同學會受眾_自動化廣告,APP_INSTALLS,54,4,,,,,88.235294,0.980392,612,20210114,FB
2021011400047073,期貨電子盤_Android_討論區受眾,Android_同學會受眾,Android_同學會受眾_自動化廣告,APP_INSTALLS,76,3,,,,,82.698585,0.761698,919,20210114,FB
2021011400047074,20210113_阿格力_下載_Android,阿格力_自動化下載廣告_Android,基本功能介紹,APP_INSTALLS,245,31,,,,,102.296451,2.087683,2395,20210114,FB
2021011400047075,20210113_阿格力_下載_IOS,阿格力_自動化下載廣告_IOS,基本功能介紹,APP_INSTALLS,248,19,,,,,107.638889,1.996528,2304,20210114,FB
2021011400047076,原力美股自動測試導下載安卓(退休),原力美股自動測試導下載安卓(退休),原力美股自動測試導下載安卓(退休),APP_INSTALLS,872,9,,,,,290.860574,0.9006,2998,20210114,FB
2021011400047077,20210105阿勳APP下載_iOS_軟體,外部投資興趣,學員獲利(圖),APP_INSTALLS,7,1,,,,,104.477612,2.985075,67,20210114,FB
2021011400047078,20210105阿勳APP下載_iOS_軟體,外部投資興趣,財報複雜(圖),APP_INSTALLS,153,8,,,,,125.718981,0.986031,1217,20210114,FB
2021011400047079,20210105阿勳APP下載_iOS_軟體,外部投資興趣,台股高檔(圖),APP_INSTALLS,891,45,,,,,123.75,1.347222,7200,20210114,FB
2021011400047080,20210105阿勳APP下載_Android_軟體,陳重銘粉專,學員獲利(圖),APP_INSTALLS,0,,,,,,0,0,1,20210114,FB
2021011400047081,20210105阿勳APP下載_Android_軟體,陳重銘粉專,台股高檔(圖),APP_INSTALLS,14,,,,,,95.238095,3.401361,147,20210114,FB
2021011400047082,20210105阿勳APP下載_Android_軟體,陳重銘粉專,財報複雜(圖),APP_INSTALLS,2,,,,,,125,12.5,16,20210114,FB
2021011400047083,20210105阿勳APP下載_Android_軟體,外部投資興趣,財報複雜(圖),APP_INSTALLS,32,2,,,,,112.280702,1.754386,285,20210114,FB
2021011400047084,20210105阿勳APP下載_Android_軟體,外部投資興趣,學員獲利(圖),APP_INSTALLS,0,,,,,,0,0,11,20210114,FB
2021011400047085,20210105阿勳APP下載_Android_軟體,外部投資興趣,台股高檔(圖),APP_INSTALLS,381,12,,,,,141.583055,1.969528,2691,20210114,FB
2021011400047086,20210105阿勳APP下載_iOS_軟體,陳重銘粉專,台股高檔(圖),APP_INSTALLS,3,,,,,,63.829787,0,47,20210114,FB
2021011400047087,20210105阿勳APP下載_iOS_軟體,陳重銘粉專,學員獲利(圖),APP_INSTALLS,0,,,,,,0,0,2,20210114,FB
2021011400047088,20210105阿勳APP下載_iOS_軟體,陳重銘粉專,財報複雜(圖),APP_INSTALLS,0,,,,,,0,4,25,20210114,FB
2021011500047089,武財神_APP下載_Android_20200723,武財神__Android_25-65+_興趣_道教_自動版位,上香功能影片,APP_INSTALLS,294,24,,,,,45.216856,0.953553,6502,20210115,FB
2021011500047090,武財神_APP下載_Android_20200723,武財神__Android_25-65+_類似受眾_安裝APP_自動版位,上香功能影片,APP_INSTALLS,190,11,,,,,87.638376,1.706642,2168,20210115,FB
2021011500047091,武財神_APP下載_iOS_20200904,武財神__iOS_25-65+_類似受眾_活躍用戶5%_自動版位,幸運數字圖片,APP_INSTALLS,0,,,,,,0,0,1,20210115,FB
2021011500047092,武財神_APP下載_iOS_20200904,武財神__iOS_25-65+_類似受眾_許願_自動版位,求籤圖片２,APP_INSTALLS,11,,,,,,95.652174,2.608696,115,20210115,FB
2021011500047093,武財神_APP下載_iOS_20200904,武財神__iOS_25-65+_類似受眾_許願_自動版位,求籤圖片１,APP_INSTALLS,164,7,,,,,135.986733,2.155887,1206,20210115,FB
2021011500047094,武財神_APP下載_iOS_20200904,武財神__iOS_25-65+_類似受眾_運勢_自動版位,求籤圖片１,APP_INSTALLS,26,2,,,,,136.842105,3.157895,190,20210115,FB
2021011500047095,武財神_APP下載_iOS_20200904,武財神__iOS_25-65+_類似受眾_許願_自動版位,上香影片,APP_INSTALLS,16,1,,,,,108.108108,0.675676,148,20210115,FB
2021011500047096,武財神_APP下載_iOS_20200904,武財神__iOS_25-65+_類似受眾_運勢_自動版位,上香影片,APP_INSTALLS,14,,,,,,119.65812,1.709402,117,20210115,FB
2021011500047097,20200922_艾蜜莉APP_IOS_下載_軟體,財報投資受眾_IOS (便宜價),單一圖片_便宜價,APP_INSTALLS,600,40,,,,,122.149837,2.015472,4912,20210115,FB
2021011500047098,20200922_艾蜜莉APP_Android_下載_軟體,財報投資受眾_Android (便宜價),單一圖片_便宜價,APP_INSTALLS,95,6,,,,,101.171459,1.384452,939,20210115,FB
2021011500047099,20200922_艾蜜莉APP_IOS_下載_軟體,財報投資受眾_IOS (股災影片),單一影片_股災影片,APP_INSTALLS,76,5,,,,,88.06489,1.969873,863,20210115,FB
2021011500047100,股市爆料同學會_Henry_自動化應用程式廣告Test_20200923_Android,股市爆料同學會_Android_20200923,股市爆料同學會_Android_20200923,APP_INSTALLS,52,12,,,,,48.372093,1.767442,1075,20210115,FB
2021011500047101,20200922_艾蜜莉APP_Android_下載_軟體,財報投資受眾_Android (股災影片),單一影片_股災影片,APP_INSTALLS,2,,,,,,74.074074,3.703704,27,20210115,FB
2021011500047102,20200922_艾蜜莉APP_Android_下載_軟體,基本面受眾_Android (股災影片),單一影片_股災影片,APP_INSTALLS,21,2,,,,,76.363636,2.909091,275,20210115,FB
2021011500047103,20200922_艾蜜莉APP_Android_下載_軟體,基本面受眾_Android (便宜價),單一圖片_便宜價,APP_INSTALLS,93,6,,,,,104.377104,2.020202,891,20210115,FB
2021011500047104,股市爆料同學會_CM粉專_20201014,(CM粉專)股市爆料同學會_影片區_Android,股市爆料同學會_影片A_20200306_爆料TA_Android,APP_INSTALLS,0,,,,,,0,0,32,20210115,FB
2021011500047105,股市爆料同學會_CM粉專_20201014,(CM粉專)股市爆料同學會_影片區_Android,股市爆料同學會_影片C_20200508_爆料TA_Android,APP_INSTALLS,1,,,,,,76.923077,0,13,20210115,FB
2021011500047106,股市爆料同學會_CM粉專_20201014,(CM粉專)股市爆料同學會_熱門股_iOS,股市爆料同學會_熱門股_20200828_iOS,APP_INSTALLS,116,18,,,,,66.897347,2.364475,1734,20210115,FB
2021011500047107,股市爆料同學會_CM粉專_20201014,(CM粉專)股市爆料同學會_影片區_Android,股市爆料同學會_影片B_20200507_爆料TA_Android,APP_INSTALLS,2,,,,,,60.606061,0,33,20210115,FB
2021011500047108,股市爆料同學會_CM粉專_20201014,(CM粉專)股市爆料同學會_影片區_iOS,股市爆料同學會_影片B_20200507_爆料TA_Android,APP_INSTALLS,3,1,,,,,54.545455,0,55,20210115,FB
2021011500047109,股市爆料同學會_CM粉專_20201014,(CM粉專)股市爆料同學會_影片區_iOS,股市爆料同學會_影片A_20200306_爆料TA_Android,APP_INSTALLS,0,,,,,,0,0,23,20210115,FB
2021011500047110,股市爆料同學會_CM粉專_20201014,(CM粉專)股市爆料同學會_影片區_iOS,股市爆料同學會_影片A-1_20200421_爆料TA_Android,APP_INSTALLS,1,1,,,,,90.909091,9.090909,11,20210115,FB
2021011500047111,股市爆料同學會_CM粉專_20201014,(CM粉專)股市爆料同學會_熱門股_Android,股市爆料同學會_熱門股_20200828_Android,APP_INSTALLS,89,19,,,,,53.485577,3.846154,1664,20210115,FB
2021011500047112,股市爆料同學會_CM粉專_20201014,(CM粉專)股市爆料同學會_扭蛋圖_20201014_iOS,股市爆料同學會_扭蛋圖_20200828_iOS,APP_INSTALLS,0,,,,,,0,0,9,20210115,FB
2021011500047113,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試_iOS _20201106,測試_iOS_20201106,APP_INSTALLS,71,8,,,,,76.098607,2.357985,933,20210115,FB
2021011500047114,20201110_艾蜜莉下載_IOS_自動化廣告_軟體,IOS_自動化廣告,自動化廣告,APP_INSTALLS,393,26,,,,,103.611917,1.45004,3793,20210115,FB
2021011500047115,20201110_艾蜜莉下載_Android_自動化廣告_軟體,Android_自動化廣告,自動化廣告,APP_INSTALLS,415,23,,,,,98.786003,1.571055,4201,20210115,FB
2021011500047116,20200922_艾蜜莉APP_IOS_下載_軟體,基本面受眾_IOS (便宜價),單一圖片_便宜價,APP_INSTALLS,380,23,1,399,,,111.273792,1.581259,3415,20210115,FB
2021011500047117,20200922_艾蜜莉APP_IOS_下載_軟體,同學會受眾_IOS (便宜價),單一圖片_便宜價,APP_INSTALLS,461,33,,,1,390,134.63785,1.869159,3424,20210115,FB
2021011500047118,20200922_艾蜜莉APP_Android_下載_軟體,同學會受眾_Android (便宜價),單一圖片_便宜價,APP_INSTALLS,418,25,,,,,123.88856,1.689389,3374,20210115,FB
2021011500047119,20200922_艾蜜莉APP_IOS_下載_軟體,1%類似_艾蜜莉受眾_IOS (便宜價),單一圖片_便宜價,APP_INSTALLS,186,19,,,,,116.25,2.25,1600,20210115,FB
2021011500047120,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試_iOS_20201127,測試1_Android_20201127,APP_INSTALLS,160,23,,,,,72.661217,3.360581,2202,20210115,FB
2021011500047121,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試_Android_20201204,測試1_Android_20201204,APP_INSTALLS,1,,,,,,200,0,5,20210115,FB
