Serial_Number,Campaign_Name,Adset_Name,Objective,Amount_Spent,Amount_Install,Amount_Purchase,Purchase_Conversion_Value,Amount_Subscribe,Subscribe_Conversion_Value,Category,Reporting_Date
202012100000,武財神_APP下載_Android_20200723,武財神__Android_25-65+_興趣_道教_自動版位,APP_INSTALLS,460,41,,,,,FB,20201210
202012100001,武財神_APP下載_Android_20200723,武財神__Android_25-65+_類似受眾_安裝APP_自動版位,APP_INSTALLS,231,18,,,,,FB,20201210
202012100002,武財神_APP下載_iOS_20200723,武財神__iOS_25-65+_興趣_道教_自動版位,APP_INSTALLS,94,6,,,,,FB,20201210
202012100003,武財神_APP下載_iOS_20200723,武財神__iOS_25-65+_類似受眾_安裝APP_自動版位,APP_INSTALLS,24,1,,,,,FB,20201210
202012100004,武財神_APP下載_iOS_20200723,武財神__iOS_25-65+_類似受眾_上香_自動版位,APP_INSTALLS,23,1,,,,,FB,20201210
202012100005,20200801_林恩如_AOS_下載_軟體,林恩如_Android_財經興趣,APP_INSTALLS,40,3,,,,,FB,20201210
202012100006,20200801_林恩如_AOS_下載_軟體,林恩如_Android_波段官網30D相似受眾,APP_INSTALLS,4,,,,,,FB,20201210
202012100007,20200801_林恩如_AOS_下載_軟體,林恩如_Android_基本面造訪,APP_INSTALLS,0,,,,,,FB,20201210
202012100008,20200801_林恩如_AOS_下載_軟體,林恩如_Android_林恩如相似受眾,APP_INSTALLS,53,1,,,,,FB,20201210
202012100009,20200801_林恩如_iOS_下載_軟體,林恩如_iOS_基本面造訪,APP_INSTALLS,6,,,,,,FB,20201210
2020121000010,20200801_林恩如_iOS_下載_軟體,林恩如_iOS_林恩如相似受眾,APP_INSTALLS,568,31,,,2,,FB,20201210
2020121000011,20200801_林恩如_iOS_下載_軟體,林恩如_iOS_波段軟體受眾,APP_INSTALLS,516,24,1,3590,1,,FB,20201210
2020121000012,20200801_林恩如_iOS_下載_軟體,林恩如_iOS_財經興趣,APP_INSTALLS,229,10,,,,,FB,20201210
2020121000013,20200801_林恩如_iOS_下載_軟體,林恩如_iOS_波段官網30D相似受眾,APP_INSTALLS,59,4,,,,,FB,20201210
2020121000014,無聊詹_IOS_軟體,無聊詹_IOS_竹科工程師,APP_INSTALLS,0,,,,,,FB,20201210
2020121000015,無聊詹_AOS_軟體,無聊詹_AOS_粉專,APP_INSTALLS,63,5,,,,,FB,20201210
2020121000016,無聊詹_IOS_軟體,無聊詹_IOS_粉專,APP_INSTALLS,40,2,,,,,FB,20201210
2020121000017,無聊詹_AOS_軟體,無聊詹_AOS_同學會,APP_INSTALLS,58,5,,,,,FB,20201210
2020121000018,無聊詹_AOS_軟體,無聊詹_AOS_籌碼K,APP_INSTALLS,5,,,,,,FB,20201210
2020121000019,無聊詹_AOS_軟體,無聊詹_AOS_無聊詹APPLL2%,APP_INSTALLS,4,1,,,,,FB,20201210
2020121000020,無聊詹_IOS_軟體,無聊詹_IOS_籌碼K,APP_INSTALLS,315,19,,,25,22000,FB,20201210
2020121000021,無聊詹_IOS_軟體,無聊詹_IOS_同學會,APP_INSTALLS,16,,,,,,FB,20201210
2020121000022,無聊詹_IOS_軟體,無聊詹_IOS_無聊詹APPLL2%,APP_INSTALLS,16,1,,,,,FB,20201210
2020121000023,武財神_APP下載_iOS_20200904,武財神__iOS_25-65+_類似受眾_運勢_自動版位,APP_INSTALLS,201,10,2,7376,,,FB,20201210
2020121000024,無聊詹_AOS_軟體,無聊詹_AOS_商品包造訪LL2%,APP_INSTALLS,16,,,,,,FB,20201210
2020121000025,無聊詹_IOS_軟體,無聊詹_IOS_商品包造訪LL2%,APP_INSTALLS,0,,,,,,FB,20201210
2020121000026,股市爆料同學會_大眾TA_20200915,(大眾)股市爆料同學會_熱門股_20200828_iOS,APP_INSTALLS,103,17,,,,,FB,20201210
2020121000027,股市爆料同學會_大眾TA_20200915,(大眾)股市爆料同學會_扭蛋圖_20200828_Android,APP_INSTALLS,1,,,,,,FB,20201210
2020121000028,股市爆料同學會_大眾TA_20200915,(大眾)股市爆料同學會_影片區_iOS,APP_INSTALLS,0,,,,,,FB,20201210
2020121000029,股市爆料同學會_大眾TA_20200915,(大眾)股市爆料同學會_影片區_Android,APP_INSTALLS,2,1,,,,,FB,20201210
2020121000030,股市爆料同學會_大眾TA_20200915,(大眾)股市爆料同學會_扭蛋圖_20200828_iOS,APP_INSTALLS,0,,,,,,FB,20201210
2020121000031,股市爆料同學會_大眾TA_20200915,(大眾)股市爆料同學會_提問_20200922_iOS,APP_INSTALLS,3,,,,,,FB,20201210
2020121000032,股市爆料同學會_大眾TA_20200915,(大眾)股市爆料同學會_提問_20200922_Android,APP_INSTALLS,1,,,,,,FB,20201210
2020121000033,股市爆料同學會_再行銷_20200922,(再行銷)股市爆料同學會_每周熱門股_iOS,APP_INSTALLS,20,,,,,,FB,20201210
2020121000034,20200922_艾蜜莉APP_IOS_下載_軟體,財報投資受眾_IOS (便宜價),APP_INSTALLS,3048,215,2,7578,,,FB,20201210
2020121000035,20200922_艾蜜莉APP_Android_下載_軟體,財報投資受眾_Android (便宜價),APP_INSTALLS,1745,109,3,10770,,,FB,20201210
2020121000036,20200922_艾蜜莉APP_IOS_下載_軟體,財報投資受眾_IOS (股災影片),APP_INSTALLS,232,28,,,,,FB,20201210
2020121000037,股市爆料同學會_理財綜合(非儲備受眾)_20200923,(理財)股市爆料同學會_影片區_Android,APP_INSTALLS,0,,,,,,FB,20201210
2020121000038,20200922_艾蜜莉APP_Android_下載_軟體,基本面受眾_Android (便宜價),APP_INSTALLS,65,3,,,,,FB,20201210
2020121000039,丹尼爾_AOS_下載_軟體,丹尼爾_林恩如開啟,APP_INSTALLS,399,25,,,,,FB,20201210
2020121000040,丹尼爾_AOS_下載_軟體,丹尼爾_阿格力開啟,APP_INSTALLS,55,2,,,,,FB,20201210
2020121000041,丹尼爾_IOS_下載_軟體,丹尼爾_無聊詹開啟,APP_INSTALLS,119,2,,,,,FB,20201210
2020121000042,丹尼爾_IOS_下載_軟體,丹尼爾_林恩如開啟,APP_INSTALLS,292,9,1,990,,,FB,20201210
2020121000043,丹尼爾_IOS_下載_軟體,丹尼爾_阿格力開啟,APP_INSTALLS,50,4,,,,,FB,20201210
2020121000044,20200801_林恩如_AOS_下載_軟體,林恩如_Android_同學會 - 輕影片,APP_INSTALLS,179,6,,,,,FB,20201210
2020121000045,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試_Android_20201014,APP_INSTALLS,0,,,,,,FB,20201210
2020121000046,股市爆料同學會_影片廣告(無設受眾)_20201015_iOS,股市爆料同學會_影片廣告_20201015_iOS 1027改A,APP_INSTALLS,2,,,,,,FB,20201210
2020121000047,股市爆料同學會_理財受眾A(非儲備受眾)_20201016,(理財A)股市爆料同學會_影片區_Android,APP_INSTALLS,2,1,,,,,FB,20201210
2020121000048,第八屆大大工程師_20201020_陌生開發,廣告Ａ版,LINK_CLICKS,703,,,,,,FB,20201210
2020121000049,股市爆料同學會_影片廣告(無設受眾)_20201015_Android,股市爆料同學會_影片廣告_20201015_Android 1027改A,APP_INSTALLS,30,4,,,,,FB,20201210
2020121000050,第八屆大大工程師_20201027_再行銷,網站瀏覽名單,LINK_CLICKS,300,,,,,,FB,20201210
2020121000051,20200801_林恩如_iOS_下載_軟體,林恩如_iOS_同學會 - 複本,APP_INSTALLS,295,23,,,,,FB,20201210
2020121000052,20200801_林恩如_iOS_下載_軟體,林恩如_iOS_波段軟體受眾 - 複本,APP_INSTALLS,5,,,,,,FB,20201210
2020121000053,20200801_林恩如_AOS_下載_軟體,林恩如_Android_波段軟體受眾 - 輕影片,APP_INSTALLS,160,16,,,,,FB,20201210
2020121000054,權證小哥_1029(觸及)_當沖實戰精華班,權證小哥_1029(觸及)_台北當沖實戰精華班_小哥軟體受眾,REACH,150,,,,,,FB,20201210
2020121000055,權證小哥_1029(觸及)_當沖實戰精華班,權證小哥_1029(觸及)_台中當沖實戰精華班_小哥軟體受眾,REACH,112,,1,3590,,,FB,20201210
2020121000056,權證小哥_1029(觸及)_當沖實戰精華班,權證小哥_1029(觸及)_高雄當沖實戰精華班_小哥軟體受眾,REACH,126,,,,,,FB,20201210
2020121000057,權證小哥_1029(觸及)_當沖實戰精華班,權證小哥_1029(觸及)_付費直播當沖實戰精華班_小哥軟體受眾,REACH,399,,1,3590,,,FB,20201210
2020121000058,20200801_林恩如_iOS_下載_軟體,林恩如_iOS_財經興趣 - 輕影片,APP_INSTALLS,87,3,,,,,FB,20201210
2020121000059,20200801_林恩如_AOS_下載_軟體,林恩如_Android_林恩如相似受眾 - 輕影片,APP_INSTALLS,95,3,1,3590,,,FB,20201210
2020121000060,2020 Q4 恩如LIKE,波段+(理&投&小)互動類似受眾+排除粉專按讚,PAGE_LIKES,1217,,2,9576,,,FB,20201210
2020121000061,第八屆大大工程師_20201103_精準組合,報名名單1%類似受眾,LINK_CLICKS,887,,1,,,,FB,20201210
2020121000062,第八屆大大工程師_20201103_精準組合,報名名單1~5%類似受眾,LINK_CLICKS,1123,,,,,,FB,20201210
2020121000063,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試_iOS _20201106,APP_INSTALLS,1,,,,,,FB,20201210
2020121000064,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試_Android _20201106,APP_INSTALLS,0,,,,,,FB,20201210
2020121000065,20201110_艾蜜莉下載_IOS_自動化廣告_軟體,IOS_自動化廣告,APP_INSTALLS,430,30,1,590,,,FB,20201210
2020121000066,20201110_艾蜜莉下載_Android_自動化廣告_軟體,Android_自動化廣告,APP_INSTALLS,205,16,,,1,390,FB,20201210
2020121000067,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試2_Android _20201113,APP_INSTALLS,0,,,,,,FB,20201210
2020121000068,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試2_iOS _20201113(改梗圖),APP_INSTALLS,0,,,,,,FB,20201210
2020121000069,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試_iOS _20201113,APP_INSTALLS,0,1,,,,,FB,20201210
2020121000070,20200922_艾蜜莉APP_IOS_下載_軟體,基本面受眾_IOS (便宜價),APP_INSTALLS,319,30,,,,,FB,20201210
2020121000071,20200922_艾蜜莉APP_IOS_下載_軟體,同學會受眾_IOS (便宜價),APP_INSTALLS,377,18,,,,,FB,20201210
2020121000072,20200922_艾蜜莉APP_Android_下載_軟體,同學會受眾_Android (便宜價),APP_INSTALLS,251,21,,,,,FB,20201210
2020121000073,20201119_阿格力_下載_Android,阿格力_自動化下載廣告_Android,APP_INSTALLS,507,34,,,,,FB,20201210
2020121000074,20201119_阿格力_下載_IOS,阿格力_自動化下載廣告_IOS,APP_INSTALLS,415,20,1,3577,,,FB,20201210
2020121000075,丹尼爾_AOS_下載_軟體,丹尼爾_造訪理財寶LL2%,APP_INSTALLS,39,,,,,,FB,20201210
2020121000076,股市爆料同學會_理財受眾A(非儲備受眾)_20201120,(理財A)股市爆料同學會_熱門股_iOS,APP_INSTALLS,170,23,,,,,FB,20201210
2020121000077,股市爆料同學會_理財受眾A(非儲備受眾)_20201120,(理財A)股市爆料同學會_熱門股_Android,APP_INSTALLS,242,30,1,3888,,,FB,20201210
2020121000078,股市爆料同學會_大眾_20201120,(大眾)股市爆料同學會_熱門股_iOS,APP_INSTALLS,74,8,,,,,FB,20201210
2020121000079,股市爆料同學會_大眾_20201120,(大眾)股市爆料同學會_熱門股_Android,APP_INSTALLS,2,,,,,,FB,20201210
2020121000080,股市爆料同學會_測試專用_20201120,(理財A)股市爆料同學會_測試_iOS _20201106,APP_INSTALLS,5,1,,,,,FB,20201210
2020121000081,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試1_Android _20201120,APP_INSTALLS,0,,,,,,FB,20201210
2020121000082,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試2_Android _20201120,APP_INSTALLS,0,1,,,,,FB,20201210
2020121000083,股市爆料同學會_測試專用_20201120,(理財A)股市爆料同學會_測試1_Android _20201120,APP_INSTALLS,1,,,,,,FB,20201210
2020121000084,股市爆料同學會_測試專用_20201120,(理財A)股市爆料同學會_測試2_Android _20201120,APP_INSTALLS,11,3,,,,,FB,20201210
