Serial_Number,Campaign_Name,Adset_Name,Ad_Name,Objective,Amount_Spent,Amount_Install,Amount_Purchase,Purchase_Conversion_Value,Amount_Subscribe,Subscribe_Conversion_Value,CPM,CTR,Impressions,Reporting_Date,Category
2021022800051589,武財神_點燈活動,道教興趣,道教興趣,CONVERSIONS,1009,,11,57156,,,78.742001,0.874044,12814,20210228,FB
2021022800051590,武財神_點燈活動,過去四年已購買武德宮的受眾,過去四年已購買武德宮的類似受眾,CONVERSIONS,981,,,,,,105.916649,2.180954,9262,20210228,FB
2021022800051591,武財神_APP下載_Android_20200727_素材測試,武財神_Android_25-65+_類似受眾_年訂閱_自動版位,商店頁影片,APP_INSTALLS,711,73,,,,,134.150943,2.962264,5300,20210228,FB
2021022800051592,20200922_艾蜜莉APP_IOS_下載_軟體,財報投資受眾_IOS (便宜價),單一圖片_便宜價,APP_INSTALLS,1076,65,,,,,98.38164,1.526927,10937,20210228,FB
2021022800051593,20200922_艾蜜莉APP_Android_下載_軟體,財報投資受眾_Android (便宜價),單一圖片_便宜價,APP_INSTALLS,2230,128,,,,,100.152699,1.616815,22266,20210228,FB
2021022800051594,20200922_艾蜜莉APP_Android_下載_軟體,基本面受眾_Android (便宜價),圖片_便宜價+紫色功能圖,APP_INSTALLS,1,,,,,,83.333333,0,12,20210228,FB
2021022800051595,2020 Q4 恩如LIKE,波段+(理&投&小)互動類似受眾+排除粉專按讚,影片：年終精簡版,PAGE_LIKES,358,,,,,,111.180124,2.857143,3220,20210228,FB
2021022800051596,20201110_艾蜜莉下載_IOS_自動化廣告_軟體,IOS_自動化廣告,自動化廣告,APP_INSTALLS,1604,88,,,1,390,120.33911,1.718058,13329,20210228,FB
2021022800051597,20201110_艾蜜莉下載_Android_自動化廣告_軟體,Android_自動化廣告,自動化廣告,APP_INSTALLS,1287,72,,,,,99.559062,1.284134,12927,20210228,FB
2021022800051598,20200922_艾蜜莉APP_IOS_下載_軟體,同學會受眾_IOS (便宜價),圖片_便宜價+紫色功能圖,APP_INSTALLS,63,5,,,,,73.255814,1.046512,860,20210228,FB
2021022800051599,20200922_艾蜜莉APP_Android_下載_軟體,同學會受眾_Android (便宜價),單一圖片_便宜價,APP_INSTALLS,978,65,,,1,390,120.339609,1.525778,8127,20210228,FB
2021022800051600,20200922_艾蜜莉APP_IOS_下載_軟體,1%類似_艾蜜莉受眾_IOS (便宜價),單一圖片_便宜價,APP_INSTALLS,1213,72,,,,,95.361635,1.415094,12720,20210228,FB
2021022800051601,2020 Q4 恩如LIKE,造訪基本面粉專(180D)+排除粉專按讚,影片：年終精簡版,PAGE_LIKES,478,,,,,,99.067358,2.11399,4825,20210228,FB
2021022800051602,2020 Q4 恩如LIKE,購買開啟安裝強棒APP者(180D)&TW2+排除粉專按讚,影片：年終精簡版,PAGE_LIKES,379,,,,,,148.452801,2.075989,2553,20210228,FB
2021022800051603,2020 Q4 恩如LIKE,恩如類似受眾(@TW1-5%)+排除粉專按讚,影片：年終精簡版,PAGE_LIKES,395,,,,,,114.52595,1.18875,3449,20210228,FB
2021022800051604,2020 Q4 恩如LIKE,恩如類似受眾(@TW5-6%)+排除粉專按讚 - 複本,影片：年終精簡版,PAGE_LIKES,118,,,,,,123.044838,2.711157,959,20210228,FB
2021022800051605,期貨電子盤_下載_IOS - 興趣期貨受眾,期貨受眾_IOS,期貨受眾_IOS,APP_INSTALLS,48,1,,,,,57.279236,0.835322,838,20210228,FB
2021022800051606,20200922_艾蜜莉APP_IOS_下載_軟體,1%類似_基本面受眾_IOS (便宜價),單一圖片_便宜價,APP_INSTALLS,116,4,,,,,92.209857,1.112878,1258,20210228,FB
2021022800051607,20200922_艾蜜莉APP_IOS_下載_軟體,價值投資X艾蜜莉粉專最多職業受眾_IOS (便宜價),圖片_便宜價+紫色功能圖,APP_INSTALLS,22,,,,,,85.271318,0.775194,258,20210228,FB
