Serial_Number,Campaign_Name,Adset_Name,Objective,Amount_Spent,Amount_Install,Amount_Purchase,Purchase_Conversion_Value,Amount_Subscribe,Subscribe_Conversion_Value,Category,Reporting_Date
2020071800013772,期貨電子盤_下載_IOS(舊),興趣期貨受眾_IOS,APP_INSTALLS,29,,,,,,FB,20200718
2020071800013773,期貨電子盤_下載_IOS(舊),期貨電子盤類似受眾_IOS,APP_INSTALLS,5,,,,,,FB,20200718
2020071800013774,iCheck APP下載_20200324,iCheck APP下載_20190324_android (限動),APP_INSTALLS,23,,,,,,FB,20200718
2020071800013775,iCheck APP下載_20200324,iCheck APP下載_20190324_iOS (限動),APP_INSTALLS,16,2,,,,,FB,20200718
2020071800013776,iCheck APP下載_20200324,iCheck APP下載_20190324_iOS (動態牆),APP_INSTALLS,147,11,,,,,FB,20200718
2020071800013777,iCheck APP下載_20200324,iCheck APP下載_20190324_android (動態牆),APP_INSTALLS,329,15,,,,,FB,20200718
2020071800013778,武財神_APP下載_20200221,武財神__Android_25-65+_興趣_道教_自動版位,APP_INSTALLS,211,26,,,,,FB,20200718
2020071800013779,股市爆料同學會_測試專用_20200606(下載),股市爆料同學會_測試_Android_20200606,APP_INSTALLS,18,8,,,,,FB,20200718
2020071800013780,0612艾蜜莉APP下載 (Android)_軟體,外部大眾_股票便宜價,APP_INSTALLS,3631,240,,,1,390,FB,20200718
2020071800013781,0612艾蜜莉APP下載  (iOS)_軟體,外部大眾_股票便宜價,APP_INSTALLS,3597,275,,,,,FB,20200718
2020071800013782,武財神_APP下載_20200221,武財神_APP下載_20200617_iOS,APP_INSTALLS,245,14,,,1,90,FB,20200718
2020071800013783,20200701_林恩如_AOS_下載_軟體,林恩如_Android_波段30D類似受眾,APP_INSTALLS,20,1,,,,,FB,20200718
2020071800013784,20200701_林恩如_AOS_下載_軟體,林恩如_Android_波段課程LL1%,APP_INSTALLS,12,1,,,,,FB,20200718
2020071800013785,20200701_林恩如_AOS_下載_軟體,林恩如_Android_林恩如LL2%,APP_INSTALLS,96,7,,,,,FB,20200718
2020071800013786,20200701_林恩如_AOS_下載_軟體,林恩如_Android_其它LL2%,APP_INSTALLS,75,6,,,,,FB,20200718
2020071800013787,20200701_林恩如_AOS_下載_軟體,林恩如_Android_波段軟體類似受眾,APP_INSTALLS,58,5,,,,,FB,20200718
2020071800013788,20200701_林恩如_AOS_下載_軟體,林恩如_Android_財經興趣,APP_INSTALLS,176,19,,,,,FB,20200718
2020071800013789,20200701_林恩如_iOS_下載_軟體,林恩如_iOS_波段課程LL1%,APP_INSTALLS,176,11,,,2,,FB,20200718
2020071800013790,20200701_林恩如_iOS_下載_軟體,林恩如_iOS_波段軟體類似受眾,APP_INSTALLS,60,5,,,,,FB,20200718
2020071800013791,20200701_林恩如_iOS_下載_軟體,林恩如_iOS_財經興趣,APP_INSTALLS,105,3,,,,,FB,20200718
2020071800013792,20200701_林恩如_iOS_下載_軟體,林恩如_iOS_波段30D類似受眾,APP_INSTALLS,9,,,,,,FB,20200718
2020071800013793,20200701_林恩如_iOS_下載_軟體,林恩如_iOS_其它LL2%,APP_INSTALLS,53,4,,,,,FB,20200718
2020071800013794,20200701_林恩如_iOS_下載_軟體,林恩如_iOS_林恩如LL2%,APP_INSTALLS,60,4,,,,,FB,20200718
2020071800013795,股人阿勳_下載_20200605_軟體,股人阿勳_下載_IOS_籌K+同學會受眾,APP_INSTALLS,631,49,,,,,FB,20200718
2020071800013796,股人阿勳_下載_20200605_軟體,股人阿勳_下載_AOS_籌K+同學會受眾,APP_INSTALLS,382,24,,,,,FB,20200718
2020071800013797,股人阿勳_下載_20200605_軟體,股人阿勳_下載_AOS_經濟日報受眾,APP_INSTALLS,62,7,,,,,FB,20200718
2020071800013798,權證小哥_講座_轉換次數(購買),20200707 小哥套利講座_付費直播,CONVERSIONS,2786,,32,128608,,,FB,20200718
2020071800013799,20200709-0731_林恩如_20週均線簡單操作法_購買_講座,林恩如_課程_林恩如粉絲團LL2%,CONVERSIONS,278,,2,5658,,,FB,20200718
2020071800013800,20200709-0731_林恩如_20週均線簡單操作法_購買_講座,林恩如_課程_波段課程LL1%,CONVERSIONS,314,,,,,,FB,20200718
2020071800013801,20200709-0731_林恩如_20週均線簡單操作法_購買_講座,林恩如_課程_基本面相似受眾,CONVERSIONS,314,,1,3771,,,FB,20200718
2020071800013802,籌碼K線_iOS_下載,同學會_iOS,APP_INSTALLS,1377,100,2,1831,,,FB,20200718
2020071800013803,籌碼K線_iOS_下載,理財寶老師們_iOS,APP_INSTALLS,189,9,,,,,FB,20200718
2020071800013804,籌碼K線_iOS_下載,興趣投資理財_iOS,APP_INSTALLS,3449,131,1,3490,1,3590,FB,20200718
2020071800013805,籌碼K線_iOS_下載,理財寶粉專各種行為_iOS,APP_INSTALLS,1034,46,,,1,400,FB,20200718
2020071800013806,籌碼K線_iOS_下載,相似受眾_iOS,APP_INSTALLS,623,30,,,,,FB,20200718
2020071800013807,籌碼K線_iOS_下載,相似受眾_android,APP_INSTALLS,435,21,1,,,,FB,20200718
2020071800013808,籌碼K線_iOS_下載,同學會_android,APP_INSTALLS,334,28,,,,,FB,20200718
2020071800013809,籌碼K線_iOS_下載,理財寶粉專各種行為_android,APP_INSTALLS,381,10,,,,,FB,20200718
2020071800013810,籌碼K線_iOS_下載,理財寶老師們_android,APP_INSTALLS,148,5,,,,,FB,20200718
2020071800013811,籌碼K線_iOS_下載,興趣投資理財_android,APP_INSTALLS,4061,140,1,3590,1,3590,FB,20200718
2020071800013812,20200710_林恩如_Like_其他_軟體,林恩如_Like_基本面相似受眾,PAGE_LIKES,6,,,,,,FB,20200718
2020071800013813,20200710_林恩如_Like_其他_軟體,林恩如_Like_林恩如粉絲團LL2%,PAGE_LIKES,11,,,,,,FB,20200718
2020071800013814,20200710_林恩如_Like_其他_軟體,林恩如_Like_波段官網30D類似受眾,PAGE_LIKES,1,,,,,,FB,20200718
2020071800013815,20200710_林恩如_Like_其他_軟體,林恩如_Like_波段粉絲團LL2%,PAGE_LIKES,3,,,,,,FB,20200718
2020071800013816,20200710_林恩如_Like_其他_軟體,林恩如_Like_波段課程LL1%,PAGE_LIKES,87,,,,,,FB,20200718
2020071800013817,20200710_林恩如_Like_其他_軟體,林恩如_Like_波段軟體類似受眾,PAGE_LIKES,7,,,,,,FB,20200718
2020071800013818,20200710_林恩如_Like_其他_軟體,林恩如_Like_財經興趣受眾,PAGE_LIKES,31,,,,,,FB,20200718
2020071800013819,20200710_林恩如_Like_其他_軟體,林恩如_Like_股票興趣受眾,PAGE_LIKES,6,,,,,,FB,20200718
2020071800013820,20200710_林恩如_Like_其他_軟體,林恩如_Like_期貨興趣受眾,PAGE_LIKES,15,,,,,,FB,20200718
2020071800013821,20200710_林恩如_Like_其他_軟體,林恩如_Like_報酬率興趣受眾,PAGE_LIKES,0,,,,,,FB,20200718
2020071800013822,武財神_APP下載_20200221,武財神_APP下載_20200714_iOS_上香受眾_安裝最佳化,APP_INSTALLS,0,,,,,,FB,20200718
2020071800013823,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試_iOS_20200715,APP_INSTALLS,68,37,2,16176,,,FB,20200718
2020071800013824,股市爆料同學會_測試專用_20200606(下載),(科技)股市爆料同學會_測試_iOS_20200715,APP_INSTALLS,415,163,1,9847,,,FB,20200718
2020071900013825,期貨電子盤_下載_IOS(舊),興趣期貨受眾_IOS,APP_INSTALLS,53,2,,,,,FB,20200719
2020071900013826,期貨電子盤_下載_IOS(舊),期貨電子盤類似受眾_IOS,APP_INSTALLS,16,,,,,,FB,20200719
2020071900013827,iCheck APP下載_20200324,iCheck APP下載_20190324_android (限動),APP_INSTALLS,25,1,,,,,FB,20200719
2020071900013828,iCheck APP下載_20200324,iCheck APP下載_20190324_iOS (限動),APP_INSTALLS,15,1,,,,,FB,20200719
2020071900013829,iCheck APP下載_20200324,iCheck APP下載_20190324_iOS (動態牆),APP_INSTALLS,138,10,,,,,FB,20200719
2020071900013830,iCheck APP下載_20200324,iCheck APP下載_20190324_android (動態牆),APP_INSTALLS,323,19,,,,,FB,20200719
2020071900013831,武財神_APP下載_20200221,武財神__Android_25-65+_興趣_道教_自動版位,APP_INSTALLS,212,31,,,,,FB,20200719
2020071900013832,股市爆料同學會_測試專用_20200606(下載),股市爆料同學會_測試_Android_20200606,APP_INSTALLS,27,9,,,,,FB,20200719
2020071900013833,0612艾蜜莉APP下載 (Android)_軟體,外部大眾_股票便宜價,APP_INSTALLS,3522,269,,,,,FB,20200719
2020071900013834,0612艾蜜莉APP下載  (iOS)_軟體,外部大眾_股票便宜價,APP_INSTALLS,3514,283,3,7890,1,390,FB,20200719
2020071900013835,武財神_APP下載_20200221,武財神_APP下載_20200617_iOS,APP_INSTALLS,212,17,,,,,FB,20200719
2020071900013836,20200701_林恩如_AOS_下載_軟體,林恩如_Android_波段30D類似受眾,APP_INSTALLS,24,3,,,,,FB,20200719
2020071900013837,20200701_林恩如_AOS_下載_軟體,林恩如_Android_波段課程LL1%,APP_INSTALLS,18,1,,,,,FB,20200719
2020071900013838,20200701_林恩如_AOS_下載_軟體,林恩如_Android_林恩如LL2%,APP_INSTALLS,72,6,,,,,FB,20200719
2020071900013839,20200701_林恩如_AOS_下載_軟體,林恩如_Android_其它LL2%,APP_INSTALLS,83,6,,,,,FB,20200719
2020071900013840,20200701_林恩如_AOS_下載_軟體,林恩如_Android_波段軟體類似受眾,APP_INSTALLS,163,12,,,,,FB,20200719
2020071900013841,20200701_林恩如_AOS_下載_軟體,林恩如_Android_財經興趣,APP_INSTALLS,170,7,,,,,FB,20200719
2020071900013842,20200701_林恩如_iOS_下載_軟體,林恩如_iOS_波段課程LL1%,APP_INSTALLS,241,15,,,2,,FB,20200719
2020071900013843,20200701_林恩如_iOS_下載_軟體,林恩如_iOS_波段軟體類似受眾,APP_INSTALLS,72,1,,,,,FB,20200719
2020071900013844,20200701_林恩如_iOS_下載_軟體,林恩如_iOS_財經興趣,APP_INSTALLS,213,14,,,1,,FB,20200719
2020071900013845,20200701_林恩如_iOS_下載_軟體,林恩如_iOS_波段30D類似受眾,APP_INSTALLS,6,,,,,,FB,20200719
